pH	7.4	pH	pH units	10 Jan 2017 20:00
Ammonia	0.5	ppm	Parts Per Million	10 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	10 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	10 Jan 2017 20:00
Temperature	77.8	F	Farhenheit	10 Jan 2017 20:00
pH	7.5	pH	pH units	9 Jan 2017 20:00
Ammonia	0.75	ppm	Parts Per Million	9 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	9 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	9 Jan 2017 20:00
Temperature	78.1	F	Farhenheit	9 Jan 2017 20:00
pH	8.0	pH	pH units	8 Jan 2017 20:00
Ammonia	1	ppm	Parts Per Million	8 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	8 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	8 Jan 2017 20:00
Temperature	77.9	F	Farhenheit	8 Jan 2017 20:00
pH	8.1	pH	pH units	6 Jan 2017 20:00
Ammonia	0.75	ppm	Parts Per Million	6 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	6 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	6 Jan 2017 20:00
Temperature	76.2	F	Farhenheit	6 Jan 2017 20:00
pH	7.4	pH	pH units	5 Jan 2017 20:00
Ammonia	0.75	ppm	Parts Per Million	5 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	5 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	5 Jan 2017 20:00
Temperature	76.1	F	Farhenheit	5 Jan 2017 20:00
pH	7.4	pH	pH units	4 Jan 2017 20:00
Ammonia	0.5	ppm	Parts Per Million	4 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	4 Jan 2017 20:00
Nitrate	7	ppm	Parts Per Million	4 Jan 2017 20:00
Temperature	76.1	F	Farhenheit	4 Jan 2017 20:00
pH	7.4	pH	pH units	3 Jan 2017 20:00
Nitrite	0	ppm	Parts Per Million	3 Jan 2017 20:00
Nitrate	5	ppm	Parts Per Million	3 Jan 2017 20:00
Temperature	76.3	F	Farhenheit	3 Jan 2017 20:00
Ammonia	0.5	ppm	Parts Per Million	3 Jan 2017 10:31
